Entity,Code,Year,Global GDP 
World,OWID_WRL,1,1.83E+11
World,OWID_WRL,1000,2.10E+11
World,OWID_WRL,1500,4.31E+11
World,OWID_WRL,1600,5.74E+11
World,OWID_WRL,1700,6.43E+11
World,OWID_WRL,1820,1.20E+12
World,OWID_WRL,1870,1.92E+12
World,OWID_WRL,1900,3.42E+12
World,OWID_WRL,1913,4.74E+12
World,OWID_WRL,1940,7.81E+12
World,OWID_WRL,1950,9.25E+12
World,OWID_WRL,1951,9.80E+12
World,OWID_WRL,1952,1.02E+13
World,OWID_WRL,1953,1.08E+13
World,OWID_WRL,1954,1.11E+13
World,OWID_WRL,1955,1.18E+13
World,OWID_WRL,1956,1.24E+13
World,OWID_WRL,1957,1.29E+13
World,OWID_WRL,1958,1.33E+13
World,OWID_WRL,1959,1.39E+13
World,OWID_WRL,1960,1.46E+13
World,OWID_WRL,1961,1.51E+13
World,OWID_WRL,1962,1.58E+13
World,OWID_WRL,1963,1.65E+13
World,OWID_WRL,1964,1.77E+13
World,OWID_WRL,1965,1.87E+13
World,OWID_WRL,1966,1.97E+13
World,OWID_WRL,1967,2.04E+13
World,OWID_WRL,1968,2.15E+13
World,OWID_WRL,1969,2.27E+13
World,OWID_WRL,1970,2.39E+13
World,OWID_WRL,1971,2.49E+13
World,OWID_WRL,1972,2.60E+13
World,OWID_WRL,1973,2.78E+13
World,OWID_WRL,1974,2.84E+13
World,OWID_WRL,1975,2.88E+13
World,OWID_WRL,1976,3.03E+13
World,OWID_WRL,1977,3.15E+13
World,OWID_WRL,1978,3.29E+13
World,OWID_WRL,1979,3.40E+13
World,OWID_WRL,1980,3.47E+13
World,OWID_WRL,1981,3.54E+13
World,OWID_WRL,1982,3.58E+13
World,OWID_WRL,1983,3.68E+13
World,OWID_WRL,1984,3.85E+13
World,OWID_WRL,1985,3.98E+13
World,OWID_WRL,1986,4.12E+13
World,OWID_WRL,1987,4.28E+13
World,OWID_WRL,1988,4.46E+13
World,OWID_WRL,1989,4.61E+13
World,OWID_WRL,1990,4.70E+13
World,OWID_WRL,1991,4.77E+13
World,OWID_WRL,1992,4.85E+13
World,OWID_WRL,1993,4.94E+13
World,OWID_WRL,1994,5.09E+13
World,OWID_WRL,1995,5.26E+13
World,OWID_WRL,1996,5.46E+13
World,OWID_WRL,1997,5.68E+13
World,OWID_WRL,1998,5.82E+13
World,OWID_WRL,1999,6.02E+13
World,OWID_WRL,2000,6.31E+13
World,OWID_WRL,2001,6.46E+13
World,OWID_WRL,2002,6.64E+13
World,OWID_WRL,2003,6.89E+13
World,OWID_WRL,2004,7.26E+13
World,OWID_WRL,2005,7.61E+13
World,OWID_WRL,2006,8.02E+13
World,OWID_WRL,2007,8.46E+13
World,OWID_WRL,2008,8.70E+13
World,OWID_WRL,2009,8.68E+13
World,OWID_WRL,2010,9.13E+13
World,OWID_WRL,2011,9.50E+13
World,OWID_WRL,2012,9.80E+13
World,OWID_WRL,2013,1.01E+14
World,OWID_WRL,2014,1.05E+14
World,OWID_WRL,2015,1.08E+14
